Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48809.2268762235
Austria,AUT,GDP per capita (current LCU),NY.GDP.PCAP.CN,42732.7903621722
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,45517.9038182019
Belgium,BEL,GDP per capita (current LCU),NY.GDP.PCAP.CN,39851.2159703202
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10153.4766003869
Bulgaria,BGR,GDP per capita (current LCU),NY.GDP.PCAP.CN,17385.7979828426
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14236.5352454642
Croatia,HRV,GDP per capita (current LCU),NY.GDP.PCAP.CN,12464.1776785199
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,28035.984375
Cyprus,CYP,GDP per capita (current LCU),NY.GDP.PCAP.CN,24545.68359375
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,22992.8793833348
Czechia,CZE,GDP per capita (current LCU),NY.GDP.PCAP.CN,533670.478707046
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,49169.719338849
Finland,FIN,GDP per capita (current LCU),NY.GDP.PCAP.CN,43048.4038192668
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,39055.2829280747
France,FRA,GDP per capita (current LCU),NY.GDP.PCAP.CN,34193.1500397056
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46772.8253507537
Germany,DEU,GDP per capita (current LCU),NY.GDP.PCAP.CN,40949.9077997872
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4255.74299321254
Georgia,GEO,GDP per capita (current LCU),NY.GDP.PCAP.CN,13234.083985993
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17658.9473011189
Greece,GRC,GDP per capita (current LCU),NY.GDP.PCAP.CN,15460.5213262036
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,58813.7969830876
Iceland,ISL,GDP per capita (current LCU),NY.GDP.PCAP.CN,7964665.05486229
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16125.6094085407
Hungary,HUN,GDP per capita (current LCU),NY.GDP.PCAP.CN,4966633.94579919
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,85420.1908556082
Ireland,IRL,GDP per capita (current LCU),NY.GDP.PCAP.CN,74785.9235260207
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,31918.6934933773
Italy,ITA,GDP per capita (current LCU),NY.GDP.PCAP.CN,27945.020336951
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44846.7915954816
Israel,ISR,GDP per capita (current LCU),NY.GDP.PCAP.CN,154380.857831168
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,18207.1396408628
Latvia,LVA,GDP per capita (current LCU),NY.GDP.PCAP.CN,15940.4672264291
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,20363.9244050084
Lithuania,LTU,GDP per capita (current LCU),NY.GDP.PCAP.CN,17828.7460843648
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,7677.36914105517
Montenegro,MNE,GDP per capita (current LCU),NY.GDP.PCAP.CN,6736.70107805172
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15816.8204022734
Poland,POL,GDP per capita (current LCU),NY.GDP.PCAP.CN,61681.513556929
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22242.4064179716
Portugal,PRT,GDP per capita (current LCU),NY.GDP.PCAP.CN,19473.369103341
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7733.80349392648
Serbia,SRB,GDP per capita (current LCU),NY.GDP.PCAP.CN,797844.625536626
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19551.6211601931
Slovak Republic,SVK,GDP per capita (current LCU),NY.GDP.PCAP.CN,17117.569397235
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25545.2410027132
Slovenia,SVN,GDP per capita (current LCU),NY.GDP.PCAP.CN,22365.0219104755
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,26959.6754367322
Spain,ESP,GDP per capita (current LCU),NY.GDP.PCAP.CN,23603.3683055792
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,40318.4169225055
United Kingdom,GBR,GDP per capita (current LCU),NY.GDP.PCAP.CN,31448.3481326536
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,52837.9039778149
Sweden,SWE,GDP per capita (current LCU),NY.GDP.PCAP.CN,486653.424049703
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85656.322666307
Switzerland,CHE,GDP per capita (current LCU),NY.GDP.PCAP.CN,80417.7247325735
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52162.5701150397
Netherlands,NLD,GDP per capita (current LCU),NY.GDP.PCAP.CN,45668.6638190523
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23595.2436836437
Estonia,EST,GDP per capita (current LCU),NY.GDP.PCAP.CN,20657.7867835207
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,5965.45023195365
North Macedonia,MKD,GDP per capita (current LCU),NY.GDP.PCAP.CN,322928.910496393
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/19/2023,,,,
